Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,Site,Transect,section,sexe,LC
1968,4,7,2013,Dgiard,,,,,16,I5,4,2,m,20,,,,,,,,,,,,,,,,,
1969,4,7,2013,Dgiard,,,,,16,I5,4,2,f,31,,,,,,,,,,,,,,,,,
1970,4,7,2013,Dgiard,,,,,16,I5,4,2,m,28,,,,,,,,,,,,,,,,,
1971,4,7,2013,Dgiard,,,,,16,I5,4,2,i,18,,,,,,,,,,,,,,,,,
1972,4,7,2013,Dgiard,,,,,16,I5,4,3,b,80,,,,,,,,,,,,,,,,,
1973,4,7,2013,Dgiard,,,,,16,I5,4,3,f,26,,,,,,,,,,,,,,,,,
1974,4,7,2013,Dgiard,,,,,16,I5,4,3,f,31,,,,,,,,,,,,,,,,,
1975,4,7,2013,Dgiard,,,,,16,I5,4,3,f,62,,,,,,,,,,,,,,,,,
1976,4,7,2013,Dgiard,,,,,16,I5,4,3,f,30,,,,,,,,,,,,,,,,,
1977,4,7,2013,Dgiard,,,,,16,I5,4,3,i,10,,,,,,,,,,,,,,,,,
1978,4,7,2013,Dgiard,,,,,16,I5,4,3,m,61,,,,,,,,,,,,,,,,,
1979,4,7,2013,Dgiard,,,,,16,I5,4,4,m,22,,,,,,,,,,,,,,,,,
1980,4,7,2013,Dgiard,,,,,16,I5,4,4,i,14,,,,,,,,,,,,,,,,,
1981,4,7,2013,Dgiard,,,,,16,I5,4,4,m,29,,,,,,,,,,,,,,,,,
1982,4,7,2013,Dgiard,,,,,16,I5,4,4,m,42,,,,,,,,,,,,,,,,,
1983,4,7,2013,Dgiard,,,,,16,I5,4,4,m,32,,,,,,,,,,,,,,,,,
1984,4,7,2013,Dgiard,,,,,16,I5,4,4,m,30,,,,,,,,,,,,,,,,,
1985,4,7,2013,Dgiard,,,,,16,I5,4,4,i,11,,,,,,,,,,,,,,,,,
1986,4,7,2013,Dgiard,,,,,16,I5,4,4,f,62,,,,,,,,,,,,,,,,,
1987,4,7,2013,Dgiard,,,,,16,I5,4,4,i,12,,,,,,,,,,,,,,,,,
1988,4,7,2013,Dgiard,,,,,16,I5,4,5,b,88,,,,,,,,,,,,,,,,,
1989,4,7,2013,Dgiard,,,,,16,I5,4,5,i,12,,,,,,,,,,,,,,,,,
1990,4,7,2013,Dgiard,,,,,16,I5,4,5,f,21,,,,,,,,,,,,,,,,,
1991,4,7,2013,Dgiard,,,,,16,I5,4,5,f,28,,,,,,,,,,,,,,,,,
1992,4,7,2013,Dgiard,,,,,16,I5,4,5,m,28,,,,,,,,,,,,,,,,,
1993,4,7,2013,Dgiard,,,,,16,I5,4,5,m,90,,,,,,,,,,,,,,,,,
1994,4,7,2013,Dgiard,,,,,16,I5,4,5,i,14,,,,,,,,,,,,,,,,,
1995,4,7,2013,Dgiard,,,,,16,I5,4,5,m,27,,,,,,,,,,,,,,,,,
1996,4,7,2013,Dgiard,,,,,16,I5,4,5,i,13,,,,,,,,,,,,,,,,,
1997,4,7,2013,Dgiard,,,,,16,I5,4,6,f,72,,,,,,,,,,,,,,,,,
1998,4,7,2013,Dgiard,,,,,16,I5,4,6,i,11,,,,,,,,,,,,,,,,,
1999,4,7,2013,Dgiard,,,,,16,I5,4,6,i,12,,,,,,,,,,,,,,,,,
2000,4,7,2013,Dgiard,,,,,16,I5,4,6,m,27,,,,,,,,,,,,,,,,,
2001,4,7,2013,Dgiard,,,,,16,I5,4,6,m,45,,,,,,,,,,,,,,,,,
2002,4,7,2013,Dgiard,,,,,16,I5,4,6,i,12,,,,,,,,,,,,,,,,,
2003,4,7,2013,Dgiard,,,,,16,I5,4,6,i,14,,,,,,,,,,,,,,,,,
2004,4,7,2013,Dgiard,,,,,16,I5,4,6,i,11,,,,,,,,,,,,,,,,,
2005,4,7,2013,Dgiard,,,,,16,I5,4,7,m,65,,,,,,,,,,,,,,,,,
2006,4,7,2013,Dgiard,,,,,16,I5,4,7,m,34,,,,,,,,,,,,,,,,,
2007,4,7,2013,Dgiard,,,,,16,I5,4,7,i,10,,,,,,,,,,,,,,,,,
2008,4,7,2013,Dgiard,,,,,16,I5,4,7,i,11,,,,,,,,,,,,,,,,,
2009,4,7,2013,Dgiard,,,,,16,I5,4,7,i,19,,,,,,,,,,,,,,,,,
2010,4,7,2013,Dgiard,,,,,16,I5,4,7,m,68,,,,,,,,,,,,,,,,,
2011,4,7,2013,Dgiard,,,,,16,I5,4,7,i,18,,,,,,,,,,,,,,,,,
2012,4,7,2013,Dgiard,,,,,16,I5,4,7,f,31,,,,,,,,,,,,,,,,,
2013,4,7,2013,Dgiard,,,,,16,I5,4,7,f,46,,,,,,,,,,,,,,,,,
2014,4,7,2013,Dgiard,,,,,16,I5,4,7,i,15,,,,,,,,,,,,,,,,,
2015,4,7,2013,Dgiard,,,,,16,I5,4,8,f,77,,,,,,,,,,,,,,,,,
2016,4,7,2013,Dgiard,,,,,16,I5,4,8,i,19,,,,,,,,,,,,,,,,,
2017,4,7,2013,Dgiard,,,,,16,I5,4,8,m,20,,,,,,,,,,,,,,,,,
2018,4,7,2013,Dgiard,,,,,16,I5,4,8,m,28,,,,,,,,,,,,,,,,,
2019,4,7,2013,Dgiard,,,,,16,I5,4,8,f,32,,,,,,,,,,,,,,,,,
2020,4,7,2013,Dgiard,,,,,16,I5,4,8,f,24,,,,,,,,,,,,,,,,,
2021,4,7,2013,Dgiard,,,,,16,I5,4,9,f,88,,,,,,,,,,,,,,,,,
2022,4,7,2013,Dgiard,,,,,16,I5,4,9,m,75,,,,,,,,,,,,,,,,,
2023,4,7,2013,Dgiard,,,,,16,I5,4,9,i,17,,,,,,,,,,,,,,,,,
2024,4,7,2013,Dgiard,,,,,16,I5,4,9,i,15,,,,,,,,,,,,,,,,,
2025,4,7,2013,Dgiard,,,,,16,I5,4,9,i,12,,,,,,,,,,,,,,,,,
2026,4,7,2013,Dgiard,,,,,16,I5,4,9,f,63,,,,,,,,,,,,,,,,,
2027,4,7,2013,Dgiard,,,,,16,I5,4,10,m,23,,,,,,,,,,,,,,,,,
2028,4,7,2013,Dgiard,,,,,16,I5,4,10,f,23,,,,,,,,,,,,,,,,,
2029,4,7,2013,Dgiard,,,,,16,I5,4,10,m,29,,,,,,,,,,,,,,,,,
2030,4,7,2013,Dgiard,,,,,16,I5,4,11,m,33,,,,,,,,,,,,,,,,,
2031,4,7,2013,Dgiard,,,,,16,I5,4,11,m,22,,,,,,,,,,,,,,,,,
2032,4,7,2013,Dgiard,,,,,16,I5,4,11,m,21,,,,,,,,,,,,,,,,,
2033,4,7,2013,Dgiard,,,,,16,I5,4,11,f,29,,,,,,,,,,,,,,,,,
2034,4,7,2013,Dgiard,,,,,16,I5,4,12,m,88,,,,,,,,,,,,,,,,,
2035,4,7,2013,Dgiard,,,,,16,I5,4,12,f,55,,,,,,,,,,,,,,,,,
2036,4,7,2013,Dgiard,,,,,16,I5,4,12,i,11,,,,,,,,,,,,,,,,,
2037,4,7,2013,Dgiard,,,,,16,I5,4,12,m,50,,,,,,,,,,,,,,,,,
2038,4,7,2013,Dgiard,,,,,16,I5,4,12,i,13,,,,,,,,,,,,,,,,,
2039,4,7,2013,Dgiard,,,,,16,I5,4,12,f,65,,,,,,,,,,,,,,,,,
2040,4,7,2013,Dgiard,,,,,16,I5,4,13,i,10,,,,,,,,,,,,,,,,,
2041,4,7,2013,Dgiard,,,,,16,I5,4,13,i,16,,,,,,,,,,,,,,,,,
2042,4,7,2013,Dgiard,,,,,16,I5,4,13,m,45,,,,,,,,,,,,,,,,,
2043,4,7,2013,Dgiard,,,,,16,I5,4,13,i,12,,,,,,,,,,,,,,,,,
2044,4,7,2013,Dgiard,,,,,16,I5,4,14,f,57,,,,,,,,,,,,,,,,,
2045,4,7,2013,Dgiard,,,,,16,I5,4,14,f,52,,,,,,,,,,,,,,,,,
2046,4,7,2013,Dgiard,,,,,16,I5,4,14,m,60,,,,,,,,,,,,,,,,,
2047,4,7,2013,Dgiard,,,,,16,I5,4,14,m,34,,,,,,,,,,,,,,,,,
2048,4,7,2013,Dgiard,,,,,16,I5,4,14,i,19,,,,,,,,,,,,,,,,,
2049,4,7,2013,Dgiard,,,,,16,I5,4,15,m,35,,,,,,,,,,,,,,,,,
2050,4,7,2013,Dgiard,,,,,16,I5,4,15,m,46,,,,,,,,,,,,,,,,,
2051,4,7,2013,Dgiard,,,,,16,I5,4,15,i,12,,,,,,,,,,,,,,,,,
2052,4,7,2013,Dgiard,,,,,16,I5,4,15,f,27,,,,,,,,,,,,,,,,,
2053,4,7,2013,Dgiard,,,,,16,I5,4,15,f,80,,,,,,,,,,,,,,,,,
2054,4,7,2013,Dgiard,,,,,16,I5,4,15,m,23,,,,,,,,,,,,,,,,,
2055,4,7,2013,Dgiard,,,,,16,I5,4,15,f,70,,,,,,,,,,,,,,,,,
2056,4,7,2013,Dgiard,,,,,16,I5,4,15,m,42,,,,,,,,,,,,,,,,,
2057,4,7,2013,Dgiard,,,,,16,I5,4,15,m,32,,,,,,,,,,,,,,,,,
2058,4,7,2013,Dgiard,,,,,16,I5,4,15,i,15,,,,,,,,,,,,,,,,,
2059,4,7,2013,Dgiard,,,,,16,I5,4,15,f,81,,,,,,,,,,,,,,,,,
2060,4,7,2013,Dgiard,,,,,16,I5,4,16,m,20,,,,,,,,,,,,,,,,,
2061,4,7,2013,Dgiard,,,,,16,I5,4,16,m,27,,,,,,,,,,,,,,,,,
2062,4,7,2013,Dgiard,,,,,16,I5,4,16,m,23,,,,,,,,,,,,,,,,,
2063,4,7,2013,Dgiard,,,,,16,I5,4,16,m,21,,,,,,,,,,,,,,,,,
2064,4,7,2013,Dgiard,,,,,16,I5,4,16,f,38,,,,,,,,,,,,,,,,,
2065,4,7,2013,Dgiard,,,,,16,I5,4,17,f,30,,,,,,,,,,,,,,,,,
2066,4,7,2013,Dgiard,,,,,16,I5,4,17,m,27,,,,,,,,,,,,,,,,,
2067,4,7,2013,Dgiard,,,,,16,I5,4,17,i,16,,,,,,,,,,,,,,,,,
2068,4,7,2013,Dgiard,,,,,16,I5,4,17,i,15,,,,,,,,,,,,,,,,,
2069,4,7,2013,Dgiard,,,,,16,I5,4,17,m,20,,,,,,,,,,,,,,,,,
2070,4,7,2013,Dgiard,,,,,16,I5,4,17,f,32,,,,,,,,,,,,,,,,,
2071,4,7,2013,Dgiard,,,,,16,I5,4,17,f,55,,,,,,,,,,,,,,,,,
2072,4,7,2013,Dgiard,,,,,16,I5,4,17,m,32,,,,,,,,,,,,,,,,,
2073,4,7,2013,Dgiard,,,,,16,I5,4,17,m,29,,,,,,,,,,,,,,,,,
2074,4,7,2013,Dgiard,,,,,16,I5,4,18,m,42,,,,,,,,,,,,,,,,,
2075,4,7,2013,Dgiard,,,,,16,I5,4,18,m,74,,,,,,,,,,,,,,,,,
2076,4,7,2013,Dgiard,,,,,16,I5,4,18,i,18,,,,,,,,,,,,,,,,,
2077,4,7,2013,Dgiard,,,,,16,I5,4,18,m,38,,,,,,,,,,,,,,,,,
2078,4,7,2013,Gpaulin,,,,,16,I5,4,1,m,30,,,,,,,,,,,,,,,,,
2079,4,7,2013,Gpaulin,,,,,16,I5,4,1,i,18,,,,,,,,,,,,,,,,,
2080,4,7,2013,Gpaulin,,,,,16,I5,4,1,f,25,,,,,,,,,,,,,,,,,
2081,4,7,2013,Gpaulin,,,,,16,I5,4,1,b,73,,,,,,,,,,,,,,,,,
2082,4,7,2013,Gpaulin,,,,,16,I5,4,1,m,24,,,,,,,,,,,,,,,,,
2083,4,7,2013,Gpaulin,,,,,16,I5,4,1,i,15,,,,,,,,,,,,,,,,,
2084,4,7,2013,Gpaulin,,,,,16,I5,4,2,m,23,,,,,,,,,,,,,,,,,
2085,4,7,2013,Gpaulin,,,,,16,I5,4,2,f,34,,,,,,,,,,,,,,,,,
2086,4,7,2013,Gpaulin,,,,,16,I5,4,2,f,25,,,,,,,,,,,,,,,,,
2087,4,7,2013,Gpaulin,,,,,16,I5,4,2,f,70,,,,,,,,,,,,,,,,,
2088,4,7,2013,Gpaulin,,,,,16,I5,4,2,i,12,,,,,,,,,,,,,,,,,
2089,4,7,2013,Gpaulin,,,,,16,I5,4,2,m,48,,,,,,,,,,,,,,,,,
2090,4,7,2013,Gpaulin,,,,,16,I5,4,2,m,27,,,,,,,,,,,,,,,,,
2091,4,7,2013,Gpaulin,,,,,16,I5,4,2,f,39,,,,,,,,,,,,,,,,,
2092,4,7,2013,Gpaulin,,,,,16,I5,4,3,i,15,,,,,,,,,,,,,,,,,
2093,4,7,2013,Gpaulin,,,,,16,I5,4,3,f,21,,,,,,,,,,,,,,,,,
2094,4,7,2013,Gpaulin,,,,,16,I5,4,3,m,28,,,,,,,,,,,,,,,,,
2095,4,7,2013,Gpaulin,,,,,16,I5,4,3,i,15,,,,,,,,,,,,,,,,,
2096,4,7,2013,Gpaulin,,,,,16,I5,4,3,f,32,,,,,,,,,,,,,,,,,
2097,4,7,2013,Gpaulin,,,,,16,I5,4,3,i,15,,,,,,,,,,,,,,,,,
2098,4,7,2013,Gpaulin,,,,,16,I5,4,3,f,28,,,,,,,,,,,,,,,,,
2099,4,7,2013,Gpaulin,,,,,16,I5,4,3,m,22,,,,,,,,,,,,,,,,,
2100,4,7,2013,Gpaulin,,,,,16,I5,4,3,b,80,,,,,,,,,,,,,,,,,
2101,4,7,2013,Gpaulin,,,,,16,I5,4,3,i,18,,,,,,,,,,,,,,,,,
2102,4,7,2013,Gpaulin,,,,,16,I5,4,3,m,43,,,,,,,,,,,,,,,,,
2103,4,7,2013,Gpaulin,,,,,16,I5,4,4,f,59,,,,,,,,,,,,,,,,,
2104,4,7,2013,Gpaulin,,,,,16,I5,4,4,m,40,,,,,,,,,,,,,,,,,
2105,4,7,2013,Gpaulin,,,,,16,I5,4,4,i,18,,,,,,,,,,,,,,,,,
2106,4,7,2013,Gpaulin,,,,,16,I5,4,4,f,23,,,,,,,,,,,,,,,,,
2107,4,7,2013,Gpaulin,,,,,16,I5,4,4,i,16,,,,,,,,,,,,,,,,,
2108,4,7,2013,Gpaulin,,,,,16,I5,4,4,m,31,,,,,,,,,,,,,,,,,
2109,4,7,2013,Gpaulin,,,,,16,I5,4,4,f,27,,,,,,,,,,,,,,,,,
2110,4,7,2013,Gpaulin,,,,,16,I5,4,4,m,25,,,,,,,,,,,,,,,,,
2111,4,7,2013,Gpaulin,,,,,16,I5,4,4,i,15,,,,,,,,,,,,,,,,,
2112,4,7,2013,Gpaulin,,,,,16,I5,4,4,f,28,,,,,,,,,,,,,,,,,
2113,4,7,2013,Gpaulin,,,,,16,I5,4,5,f,40,,,,,,,,,,,,,,,,,
2114,4,7,2013,Gpaulin,,,,,16,I5,4,5,f,30,,,,,,,,,,,,,,,,,
2115,4,7,2013,Gpaulin,,,,,16,I5,4,5,f,75,,,,,,,,,,,,,,,,,
2116,4,7,2013,Gpaulin,,,,,16,I5,4,5,i,10,,,,,,,,,,,,,,,,,
2117,4,7,2013,Gpaulin,,,,,16,I5,4,5,m,58,,,,,,,,,,,,,,,,,
2118,4,7,2013,Gpaulin,,,,,16,I5,4,5,m,22,,,,,,,,,,,,,,,,,
2119,4,7,2013,Gpaulin,,,,,16,I5,4,5,m,28,,,,,,,,,,,,,,,,,
2120,4,7,2013,Gpaulin,,,,,16,I5,4,5,i,18,,,,,,,,,,,,,,,,,
2121,4,7,2013,Gpaulin,,,,,16,I5,4,5,f,28,,,,,,,,,,,,,,,,,
2122,4,7,2013,Gpaulin,,,,,16,I5,4,6,i,18,,,,,,,,,,,,,,,,,
2123,4,7,2013,Gpaulin,,,,,16,I5,4,6,m,48,,,,,,,,,,,,,,,,,
2124,4,7,2013,Gpaulin,,,,,16,I5,4,6,i,8,,,,,,,,,,,,,,,,,
2125,4,7,2013,Gpaulin,,,,,16,I5,4,6,i,12,,,,,,,,,,,,,,,,,
2126,4,7,2013,Gpaulin,,,,,16,I5,4,6,i,16,,,,,,,,,,,,,,,,,
2127,4,7,2013,Gpaulin,,,,,16,I5,4,6,f,60,,,,,,,,,,,,,,,,,
2128,4,7,2013,Gpaulin,,,,,16,I5,4,7,f,37,,,,,,,,,,,,,,,,,
2129,4,7,2013,Gpaulin,,,,,16,I5,4,7,m,22,,,,,,,,,,,,,,,,,
2130,4,7,2013,Gpaulin,,,,,16,I5,4,7,i,12,,,,,,,,,,,,,,,,,
2131,4,7,2013,Gpaulin,,,,,16,I5,4,7,i,18,,,,,,,,,,,,,,,,,
2132,4,7,2013,Gpaulin,,,,,16,I5,4,7,m,20,,,,,,,,,,,,,,,,,
2133,4,7,2013,Gpaulin,,,,,16,I5,4,7,i,15,,,,,,,,,,,,,,,,,
2134,4,7,2013,Gpaulin,,,,,16,I5,4,8,m,25,,,,,,,,,,,,,,,,,
2135,4,7,2013,Gpaulin,,,,,16,I5,4,8,f,28,,,,,,,,,,,,,,,,,
2136,4,7,2013,Gpaulin,,,,,16,I5,4,8,i,15,,,,,,,,,,,,,,,,,
2137,4,7,2013,Gpaulin,,,,,16,I5,4,8,m,32,,,,,,,,,,,,,,,,,
2138,4,7,2013,Gpaulin,,,,,16,I5,4,8,f,60,,,,,,,,,,,,,,,,,
2139,4,7,2013,Gpaulin,,,,,16,I5,4,9,i,12,,,,,,,,,,,,,,,,,
2140,4,7,2013,Gpaulin,,,,,16,I5,4,9,f,79,,,,,,,,,,,,,,,,,
2141,4,7,2013,Gpaulin,,,,,16,I5,4,9,i,18,,,,,,,,,,,,,,,,,
2142,4,7,2013,Gpaulin,,,,,16,I5,4,9,m,31,,,,,,,,,,,,,,,,,
2143,4,7,2013,Gpaulin,,,,,16,I5,4,9,i,18,,,,,,,,,,,,,,,,,
2144,4,7,2013,Gpaulin,,,,,16,I5,4,10,f,29,,,,,,,,,,,,,,,,,
2145,4,7,2013,Gpaulin,,,,,16,I5,4,10,m,32,,,,,,,,,,,,,,,,,
2146,4,7,2013,Gpaulin,,,,,16,I5,4,10,i,16,,,,,,,,,,,,,,,,,
2147,4,7,2013,Gpaulin,,,,,16,I5,4,10,f,25,,,,,,,,,,,,,,,,,
2148,4,7,2013,Gpaulin,,,,,16,I5,4,10,i,10,,,,,,,,,,,,,,,,,
2149,4,7,2013,Gpaulin,,,,,16,I5,4,11,f,55,,,,,,,,,,,,,,,,,
2150,4,7,2013,Gpaulin,,,,,16,I5,4,11,m,39,,,,,,,,,,,,,,,,,
2151,4,7,2013,Gpaulin,,,,,16,I5,4,11,f,65,,,,,,,,,,,,,,,,,
2152,4,7,2013,Gpaulin,,,,,16,I5,4,11,i,15,,,,,,,,,,,,,,,,,
2153,4,7,2013,Gpaulin,,,,,16,I5,4,11,f,30,,,,,,,,,,,,,,,,,
2154,4,7,2013,Gpaulin,,,,,16,I5,4,12,m,24,,,,,,,,,,,,,,,,,
2155,4,7,2013,Gpaulin,,,,,16,I5,4,12,f,60,,,,,,,,,,,,,,,,,
2156,4,7,2013,Gpaulin,,,,,16,I5,4,12,i,15,,,,,,,,,,,,,,,,,
2157,4,7,2013,Gpaulin,,,,,16,I5,4,13,f,75,,,,,,,,,,,,,,,,,
2158,4,7,2013,Gpaulin,,,,,16,I5,4,13,m,28,,,,,,,,,,,,,,,,,
2159,4,7,2013,Gpaulin,,,,,16,I5,4,13,m,60,,,,,,,,,,,,,,,,,
2160,4,7,2013,Gpaulin,,,,,16,I5,4,13,f,24,,,,,,,,,,,,,,,,,
2161,4,7,2013,Gpaulin,,,,,16,I5,4,13,m,87,,,,,,,,,,,,,,,,,
2162,4,7,2013,Gpaulin,,,,,16,I5,4,14,m,22,,,,,,,,,,,,,,,,,
2163,4,7,2013,Gpaulin,,,,,16,I5,4,14,i,10,,,,,,,,,,,,,,,,,
2164,4,7,2013,Gpaulin,,,,,16,I5,4,14,m,22,,,,,,,,,,,,,,,,,
2165,4,7,2013,Gpaulin,,,,,16,I5,4,14,i,18,,,,,,,,,,,,,,,,,
2166,4,7,2013,Gpaulin,,,,,16,I5,4,14,f,72,,,,,,,,,,,,,,,,,
2167,4,7,2013,Gpaulin,,,,,16,I5,4,14,m,24,,,,,,,,,,,,,,,,,
2168,4,7,2013,Gpaulin,,,,,16,I5,4,14,f,40,,,,,,,,,,,,,,,,,
2169,4,7,2013,Gpaulin,,,,,16,I5,4,14,i,18,,,,,,,,,,,,,,,,,
2170,4,7,2013,Gpaulin,,,,,16,I5,4,14,f,32,,,,,,,,,,,,,,,,,
2171,4,7,2013,Gpaulin,,,,,16,I5,4,15,m,32,,,,,,,,,,,,,,,,,
2172,4,7,2013,Gpaulin,,,,,16,I5,4,15,m,21,,,,,,,,,,,,,,,,,
2173,4,7,2013,Gpaulin,,,,,16,I5,4,15,m,67,,,,,,,,,,,,,,,,,
2174,4,7,2013,Gpaulin,,,,,16,I5,4,15,f,44,,,,,,,,,,,,,,,,,
2175,4,7,2013,Gpaulin,,,,,16,I5,4,15,m,30,,,,,,,,,,,,,,,,,
2176,4,7,2013,Gpaulin,,,,,16,I5,4,15,f,48,,,,,,,,,,,,,,,,,
2177,4,7,2013,Gpaulin,,,,,16,I5,4,15,m,23,,,,,,,,,,,,,,,,,
2178,4,7,2013,Gpaulin,,,,,16,I5,4,16,f,62,,,,,,,,,,,,,,,,,
2179,4,7,2013,Gpaulin,,,,,16,I5,4,16,f,57,,,,,,,,,,,,,,,,,
2180,4,7,2013,Gpaulin,,,,,16,I5,4,16,m,47,,,,,,,,,,,,,,,,,
2181,4,7,2013,Gpaulin,,,,,16,I5,4,16,b,77,,,,,,,,,,,,,,,,,
2182,4,7,2013,Gpaulin,,,,,16,I5,4,16,m,69,,,,,,,,,,,,,,,,,
2183,4,7,2013,Gpaulin,,,,,16,I5,4,16,i,12,,,,,,,,,,,,,,,,,
2184,4,7,2013,Gpaulin,,,,,16,I5,4,16,m,20,,,,,,,,,,,,,,,,,
2185,4,7,2013,Gpaulin,,,,,16,I5,4,17,f,35,,,,,,,,,,,,,,,,,
2186,4,7,2013,Gpaulin,,,,,16,I5,4,17,f,28,,,,,,,,,,,,,,,,,
2187,4,7,2013,Gpaulin,,,,,16,I5,4,17,i,18,,,,,,,,,,,,,,,,,
2188,4,7,2013,Gpaulin,,,,,16,I5,4,17,f,20,,,,,,,,,,,,,,,,,
2189,4,7,2013,Gpaulin,,,,,16,I5,4,17,f,48,,,,,,,,,,,,,,,,,
2190,4,7,2013,Gpaulin,,,,,16,I5,4,17,i,16,,,,,,,,,,,,,,,,,
2191,4,7,2013,Gpaulin,,,,,16,I5,4,17,f,25,,,,,,,,,,,,,,,,,
2192,4,7,2013,Gpaulin,,,,,16,I5,4,17,f,77,,,,,,,,,,,,,,,,,
2193,4,7,2013,Gpaulin,,,,,16,I5,4,17,f,26,,,,,,,,,,,,,,,,,
2194,4,7,2013,Gpaulin,,,,,16,I5,4,17,m,32,,,,,,,,,,,,,,,,,
2195,4,7,2013,Gpaulin,,,,,16,I5,4,18,f,38,,,,,,,,,,,,,,,,,
2196,4,7,2013,Gpaulin,,,,,16,I5,4,18,m,24,,,,,,,,,,,,,,,,,
2197,4,7,2013,Gpaulin,,,,,16,I5,4,18,i,16,,,,,,,,,,,,,,,,,
2198,4,7,2013,Gpaulin,,,,,16,I5,4,18,f,24,,,,,,,,,,,,,,,,,
2199,4,7,2013,Gpaulin,,,,,16,I5,4,18,m,42,,,,,,,,,,,,,,,,,
2200,4,7,2013,Gpaulin,,,,,16,I5,4,18,i,16,,,,,,,,,,,,,,,,,
2201,9,7,2013,Mcomeau,,,,,19,I5,5,1,m,53,,,,,,,,,,,,,,,,,
2202,9,7,2013,Mcomeau,,,,,19,I5,5,1,m,68,,,,,,,,,,,,,,,,,
2203,9,7,2013,Mcomeau,,,,,19,I5,5,1,m,31,,,,,,,,,,,,,,,,,
2204,9,7,2013,Mcomeau,,,,,19,I5,5,1,i,14,,,,,,,,,,,,,,,,,
2205,9,7,2013,Mcomeau,,,,,19,I5,5,1,m,63,,,,,,,,,,,,,,,,,
2206,9,7,2013,Mcomeau,,,,,19,I5,5,1,i,13,,,,,,,,,,,,,,,,,
2207,9,7,2013,Mcomeau,,,,,19,I5,5,1,m,25,,,,,,,,,,,,,,,,,
2208,9,7,2013,Mcomeau,,,,,19,I5,5,1,i,13,,,,,,,,,,,,,,,,,
2209,9,7,2013,Mcomeau,,,,,19,I5,5,1,f,39,,,,,,,,,,,,,,,,,
2210,9,7,2013,Mcomeau,,,,,19,I5,5,1,f,28,,,,,,,,,,,,,,,,,
2211,9,7,2013,Mcomeau,,,,,19,I5,5,1,f,70,,,,,,,,,,,,,,,,,
2212,9,7,2013,Mcomeau,,,,,19,I5,5,1,i,13,,,,,,,,,,,,,,,,,
2213,9,7,2013,Mcomeau,,,,,19,I5,5,2,m,59,,,,,,,,,,,,,,,,,
2214,9,7,2013,Mcomeau,,,,,19,I5,5,2,f,37,,,,,,,,,,,,,,,,,
2215,9,7,2013,Mcomeau,,,,,19,I5,5,2,m,36,,,,,,,,,,,,,,,,,
2216,9,7,2013,Mcomeau,,,,,19,I5,5,2,m,25,,,,,,,,,,,,,,,,,
2217,9,7,2013,Mcomeau,,,,,19,I5,5,2,i,13,,,,,,,,,,,,,,,,,
2218,9,7,2013,Mcomeau,,,,,19,I5,5,2,f,21,,,,,,,,,,,,,,,,,
2219,9,7,2013,Mcomeau,,,,,19,I5,5,2,f,38,,,,,,,,,,,,,,,,,
2220,9,7,2013,Mcomeau,,,,,19,I5,5,2,i,19,,,,,,,,,,,,,,,,,
2221,9,7,2013,Mcomeau,,,,,19,I5,5,2,f,37,,,,,,,,,,,,,,,,,
2222,9,7,2013,Mcomeau,,,,,19,I5,5,2,i,18,,,,,,,,,,,,,,,,,
2223,9,7,2013,Mcomeau,,,,,19,I5,5,2,f,24,,,,,,,,,,,,,,,,,
2224,9,7,2013,Mcomeau,,,,,19,I5,5,2,i,12,,,,,,,,,,,,,,,,,
2225,9,7,2013,Mcomeau,,,,,19,I5,5,2,i,15,,,,,,,,,,,,,,,,,
2226,9,7,2013,Mcomeau,,,,,19,I5,5,2,m,29,,,,,,,,,,,,,,,,,
2227,9,7,2013,Mcomeau,,,,,19,I5,5,2,f,31,,,,,,,,,,,,,,,,,
2228,9,7,2013,Mcomeau,,,,,19,I5,5,2,f,43,,,,,,,,,,,,,,,,,
2229,9,7,2013,Mcomeau,,,,,19,I5,5,2,m,30,,,,,,,,,,,,,,,,,
2230,9,7,2013,Mcomeau,,,,,19,I5,5,2,b3,75,,,,,,,,,,,,,,,,,
2231,9,7,2013,Mcomeau,,,,,19,I5,5,3,m,20,,,,,,,,,,,,,,,,,
2232,9,7,2013,Mcomeau,,,,,19,I5,5,3,m,21,,,,,,,,,,,,,,,,,
2233,9,7,2013,Mcomeau,,,,,19,I5,5,3,i,14,,,,,,,,,,,,,,,,,
2234,9,7,2013,Mcomeau,,,,,19,I5,5,3,f,22,,,,,,,,,,,,,,,,,
2235,9,7,2013,Mcomeau,,,,,19,I5,5,3,m,33,,,,,,,,,,,,,,,,,
2236,9,7,2013,Mcomeau,,,,,19,I5,5,3,i,14,,,,,,,,,,,,,,,,,
2237,9,7,2013,Mcomeau,,,,,19,I5,5,3,f,24,,,,,,,,,,,,,,,,,
2238,9,7,2013,Mcomeau,,,,,19,I5,5,3,m,25,,,,,,,,,,,,,,,,,
2239,9,7,2013,Mcomeau,,,,,19,I5,5,3,i,19,,,,,,,,,,,,,,,,,
2240,9,7,2013,Mcomeau,,,,,19,I5,5,3,f,33,,,,,,,,,,,,,,,,,
2241,9,7,2013,Mcomeau,,,,,19,I5,5,3,m,23,,,,,,,,,,,,,,,,,
